"H, A/m","Upper B, T","Lower B, T"
-1965.9993199863998,-0.4900280161000258,-0.4900313021391547
-1965.9193183863676,-0.49002761447080934,-0.4900309084394032
-1965.8393167863358,-0.49002721280939493,-0.4900305147084026
-1965.7593151863036,-0.4900268111157787,-0.4900301209461491
-1965.6793135862717,-0.4900264093899568,-0.49002972715263904
-1965.5993119862396,-0.4900260076319253,-0.4900293333278687
-1965.5193103862077,-0.4900256058416803,-0.49002893947183435
-1965.4393087861756,-0.490025204019218,-0.4900285455845323
-1965.3593071861437,-0.4900248021645345,-0.4900281516659587
-1965.2793055861118,-0.4900244002776259,-0.49002775771611
-1965.1993039860797,-0.49002399835848837,-0.49002736373498235
-1965.1193023860478,-0.490023596407118,-0.4900269697225721
-1965.0393007860157,-0.4900231944235109,-0.4900265756788754
-1964.9592991859838,-0.4900227924076632,-0.4900261816038887
-1964.8792975859517,-0.49002239035957107,-0.49002578749760817
-1964.7992959859198,-0.4900219882792306,-0.4900253933600301
-1964.7192943858877,-0.4900215861666379,-0.4900249991911507
-1964.6392927858558,-0.49002118402178907,-0.4900246049909664
-1964.5592911858237,-0.49002078184468023,-0.4900242107594733
-1964.4792895857918,-0.49002037963530753,-0.49002381649666776
-1964.3992879857597,-0.4900199773936671,-0.490023422202546
-1964.3192863857278,-0.490019575119755,-0.4900230278771044
-1964.2392847856956,-0.49001917281356744,-0.4900226335203391
-1964.1592831856638,-0.49001877047510045,-0.49002223913224635
-1964.0792815856316,-0.4900183681043501,-0.49002184471282256
-1963.9992799855997,-0.4900179657013127,-0.4900214502620639
-1963.9192783855676,-0.4900175632659841,-0.49002105577996663
-1963.8392767855357,-0.4900171607983606,-0.4900206612665271
-1963.7592751855036,-0.49001675829843827,-0.4900202667217415
-1963.6792735854717,-0.4900163557662132,-0.49001987214560605
-1963.5992719854396,-0.49001595320168156,-0.4900194775381171
-1963.5192703854077,-0.4900155506048394,-0.4900190828992709
-1963.4392687853758,-0.49001514797568285,-0.49001868822906364
-1963.3592671853437,-0.49001474531420797,-0.4900182935274917
-1963.2792655853118,-0.49001434262041094,-0.49001789879455127
-1963.1992639852797,-0.4900139398942879,-0.4900175040302386
-1963.1192623852478,-0.4900135371358348,-0.49001710923454994
-1963.0392607852157,-0.4900131343450479,-0.4900167144074816
-1962.9592591851838,-0.4900127315219232,-0.49001631954902986
-1962.8792575851517,-0.4900123286664569,-0.49001592465919086
-1962.7992559851198,-0.49001192577864505,-0.490015529737961
-1962.7192543850877,-0.4900115228584838,-0.4900151347853364
-1962.6392527850558,-0.4900111199059692,-0.49001473980131344
-1962.5592511850236,-0.4900107169210974,-0.4900143447858883
-1962.4792495849917,-0.4900103139038644,-0.49001394973905726
