"H, A/m","B, T"
3.933933933933936,0.026219250255482704
3.993993993993996,0.02662304856817023
4.054054054054056,0.027027007130575258
4.114114114114116,0.027431128424907046
4.174174174174176,0.027835414936660523
4.234234234234236,0.028239869154668244
4.294294294294296,0.02864449357115228
4.354354354354356,0.029049290681776425
4.414414414414416,0.029454262985698337
4.474474474474476,0.029859412985622072
4.5345345345345365,0.03026474318785058
4.5945945945945965,0.030670256102338547
4.6546546546546566,0.031075954242745042
4.714714714714717,0.031481840126486825
4.774774774774777,0.03188791627479138
4.834834834834837,0.032294185212750334
4.894894894894897,0.03270064946937294
4.954954954954957,0.03310731157763985
5.015015015015017,0.033514174074556924
5.075075075075077,0.03392123950120936
5.135135135135137,0.03432851040281578
5.195195195195197,0.03473598932878269
5.255255255255257,0.035143678832759116
5.315315315315317,0.035551581472691315
5.375375375375377,0.03595969981087767
5.435435435435437,0.03636803641402393
5.495495495495497,0.03677659385329846
5.555555555555557,0.03718537470438785
5.615615615615617,0.03759438154755246
5.675675675675677,0.038003616967682535
5.735735735735737,0.038413083554354216
5.795795795795797,0.03882278390188588
5.855855855855857,0.039232720609394645
5.915915915915917,0.03964289628085315
5.975975975975977,0.040053313525146496
6.0360360360360374,0.04046397495612939
6.0960960960960975,0.040874883192683495
6.1561561561561575,0.0412860408587751
6.216216216216218,0.041697450583512936
6.276276276276278,0.04210911500120619
6.336336336336338,0.04252103675142277
6.396396396396398,0.042933218479047845
6.456456456456458,0.04334566283434261
6.516516516516518,0.04375837247300324
6.576576576576578,0.04417135005622008
6.636636636636638,0.044584598250737136
6.696696696696698,0.04499811972891182
6.756756756756758,0.04541191716877483
6.816816816816818,0.0458259932540904
6.876876876876878,0.046240350674416744
6.936936936936938,0.0466549921251668
6.996996996996998,0.04706992030766918
7.057057057057058,0.04748513792922947
7.117117117117118,0.04790064770319158
7.177177177177178,0.04831645234899972
7.237237237237238,0.048732554592260335
7.297297297297298,0.04914895716480442
7.357357357357358,0.04956566280475019
7.417417417417418,0.04998267425656587
7.477477477477478,0.05039999427113301
7.537537537537538,0.05081762560580975
7.5975975975975985,0.051235571024494664
7.6576576576576585,0.051653833297690854
7.7177177177177185,0.052072415202570235
7.777777777777779,0.05249131952303811
7.837837837837839,0.052910549049798215
7.897897897897899,0.05333010658041788
7.957957957957959,0.05374999491939373
8.018018018018019,0.05417021687821736
8.078078078078079,0.05459077527544165
8.138138138138139,0.055011672936747316
8.198198198198199,0.055432912695009634
8.258258258258259,0.05585449739036569
8.318318318318319,0.05627642987028176
8.378378378378379,0.05669871298962131
8.438438438438439,0.057121349610713065
8.498498498498499,0.05754434260341946
8.558558558558559,0.057967694845205614
8.618618618618619,0.05839140922120847
8.67867867867868,0.05881548862430637
8.73873873873874,0.059239935955188915
8.7987987987988,0.05966475412242729
8.85885885885886,0.060089946042544945
8.91891891891892,0.06051551464008849
8.97897897897898,0.06094146284769912
9.03903903903904,0.061367793606184357
9.0990990990991,0.06179450986459019
9.15915915915916,0.06222161458027364
9.21921921921922,0.06264911071897551
9.27927927927928,0.06307700125489375
9.33933933933934,0.06350528917075726
9.3993993993994,0.06393397745789976
9.45945945945946,0.06436306911633444
9.51951951951952,0.06479256715482866
9.57957957957958,0.06522247459097952
9.63963963963964,0.06565279445128941
9.6996996996997,0.06608352977124207
9.75975975975976,0.06651468359537932
9.81981981981982,0.06694625897737795
9.87987987987988,0.0673782589801272
9.93993993993994,0.06781068667580648
10.0,0.0682435451459638
10.06006006006006,0.0686768374815945
10.12012012012012,0.06911056678322043
10.18018018018018,0.06954473616096948
10.24024024024024,0.06997934873465578
10.3003003003003,0.0704144076338603
10.36036036036036,0.07084991599801185
10.42042042042042,0.07128587697646853
10.48048048048048,0.0717222937285997
10.54054054054054,0.07215916942386862
10.6006006006006,0.07259650724191516
10.66066066066066,0.0730343103726394
10.72072072072072,0.07347258201628545
10.78078078078078,0.07391132538352606
10.84084084084084,0.07435054369554733
10.9009009009009,0.07479024018413435
10.96096096096096,0.0752304180917571
11.02102102102102,0.07567108067165687
11.08108108108108,0.07611223118793342
11.14114114114114,0.0765538729156324
11.2012012012012,0.07699600914083346
11.26126126126126,0.07743864316073894
11.32132132132132,0.07788177828376294
11.381381381381381,0.07832541782962106
11.441441441441441,0.07876956512942074
11.501501501501501,0.07921422352575205
11.561561561561561,0.0796593963727791
11.621621621621621,0.08010508703633207
11.681681681681681,0.0805512988939996
11.741741741741741,0.08099803533522221
11.801801801801801,0.08144529976138581
11.861861861861861,0.08189309558591618
11.921921921921921,0.08234142623437368
11.981981981981981,0.0827902951445491
12.042042042042041,0.08323970576655962
12.102102102102101,0.0836896615629456
12.162162162162161,0.08414016600876797
12.222222222222221,0.0845912225917064
12.282282282282281,0.08504283481215777
12.342342342342342,0.08549500618333564
12.402402402402402,0.0859477402313701
12.462462462462462,0.08640104049540849
12.522522522522522,0.08685491052771663
12.582582582582582,0.08730935389378075
12.642642642642642,0.08776437417241015
12.702702702702702,0.08821997495584055
12.762762762762762,0.08867615984983804
12.822822822822822,0.08913293247380369
12.882882882882882,0.08959029646087911
12.942942942942942,0.09004825545805248
13.003003003003002,0.09050681106819419
13.063063063063062,0.0909650655295125
13.123123123123122,0.09142227954885826
13.183183183183182,0.09187845678024753
13.243243243243242,0.09233360086018888
13.303303303303302,0.09278771540778971
13.363363363363362,0.0932408040248624
13.423423423423422,0.09369287029602909
13.483483483483482,0.09414391778882594
13.543543543543542,0.09459395005380658
13.603603603603602,0.0950429706246448
13.663663663663662,0.0954909830182366
13.723723723723722,0.09593799073480125
13.783783783783782,0.0963839972579818
13.843843843843842,0.09682900605494482
13.903903903903903,0.09727302057647942
13.963963963963963,0.09771604425709546
14.024024024024023,0.09815808051512112
14.084084084084083,0.09859913275279972
14.144144144144143,0.09903920435638604
14.204204204204203,0.09947829869624161
14.264264264264263,0.09991641912692942
14.324324324324323,0.10035356898730807
14.384384384384383,0.10078975160062531
14.444444444444443,0.10122497027461048
14.504504504504503,0.1016592283015667
14.564564564564563,0.1020925289584623
14.624624624624623,0.10252487550702151
14.684684684684683,0.10295627119381448
14.744744744744743,0.10338671925034684
14.804804804804803,0.10381622289314835
14.864864864864863,0.10424478532386117
14.924924924924923,0.10467240972932738
14.984984984984983,0.1050990992816758
15.045045045045043,0.10552485713840831
15.105105105105103,0.10594968644248567
15.165165165165163,0.10637359032241235
15.225225225225223,0.10679657189232111
